"Pillar","Product","Module","Feature","Feature Owner","Release","Status NFS","Status WN","Feature Category","Tags ( AI / Redwood/AI Agent)","FDR Id","FDR Url","DCFR Ranking","OUPM Name","Prod Mngr Name","CDL Name","OMBP Mapping","Training Required? ","Reason why NF content cannot be built?","Implementation Feature? [Y/N] ","Qualifies for Certification question","Maps to Base Exam ( Provide base exam name)","Map to Delta Exam ( Provide Delta exam name)","List the Courses Impacted","Implementation Learning Path","CDL Assessment Complete?","Recording Date","Feature Classification","Combined Feature Video Name","CDL Daily Status Update","Type of Issue","Details of the Issue faced ","Response Received","Issue Resolution Outcome","Generate PPT (Exit From Grid View)","PPT Link","Recording","Video Ready for Pick-up","Video Ready Date","Review Status","Send Fixes Email To CDL","Video Review Fixes","PP Required?","QA Required?","PP Notes","Ready for PP","PP Dispatch Date","Post Production Resource","Post Production Start Date","Video ID","PP Complete","Post Production End Date","QA Dispatch Date","QA Resource","QA Date","QA Observations","QA Fixes Notification","QA Fixes?","QA Fixes Complete","QA Result ( Pass/ Fixes)","QA Complete","Setup Dispatch Date","Existing Setup Data","Setup Date","Awaiting Setup Data","MyLearn Link to Video","Container ID","Component ID","Transcript ID","Setup Status","OUPM Final Sign-off","LP Name","LP Description","Course Name","Course Description","Course Benefits","Course Keywords","Course Filters To Be Associated","Module Name","Final Overall Status","Target Release Date","Target Release Tier","Actual Release Date","Actual Release Tier","Feature GCC"
"HCM","Payroll","Payroll for the United Kingdom","Redwood Enabled by Default for UK Payroll",,"11.13.26.07.0","In Review","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"No","Redwood UI page by default. No new functionality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0264"
"HCM","Human Resources","Global Human Resources","Redwood Enabled by Default for Workforce Structures Pages",,"11.13.26.07.0","New","Published","Ready to use, small scale with prerequisite","Redwood",,,"NA","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/16/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Rohit/26CHCM0265-RedwoodEnabledbyDefaultforWorkforceStructuresPages.pptx?web=1&action=edit",,,"7/16/2026 6:55 AM","Approved",,,"Only Video ID Required","No",,,"7/17/2026 12:27 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In Post Production (A)",,,,,"26CHCM0265"
"HCM","Human Resources","Global Human Resources","Redwood Enabled by Default for Workforce Structures Pages in Update 26D",,"11.13.26.07.0","New","Published","Ready to use, small scale with prerequisite","Redwood",,,"NA","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/16/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Rohit/26CHCM0266-RedwoodEnabledbyDefaultforWorkforceStructuresPagesinUpdate26D.pptx?web=1&action=edit",,,"7/16/2026 6:56 AM","Approved",,,"Only Video ID Required","No",,,"7/17/2026 12:27 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In Post Production (A)",,,,,"26CHCM0266"
"HCM","Payroll","Payroll for Canada","Redwood Experience for Calculation Cards Enabled by Default for Professional Users",,"11.13.26.07.0","New","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Kurt",,"No","Redwood page delivered as enabled. No Functionality change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0267"
"HCM","Payroll","Payroll for Mexico","Redwood Experience for Calculation Cards Enabled by Default for Professional Users",,"11.13.26.07.0","In Review","Published","Ready to use, small scale",,,,,"Anitha","Niki","Kurt",,"No","Redwood UI page by default. No functionality change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0268"
"HCM","Work Life","My Brand","Redwood Experience for Corporate Citizenship",,"11.13.26.07.0","Ready","New","Setup Required",,,,"NA","Anitha","Niki","Nigel","N/A","Yes","N/A","No","No","N/A","N/A",,,"Yes","7/21/2026","Single NF","N/A","PPT Completed , Recording WIP",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0269-RedwoodExperienceforCorporateCitizenship.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0269"
"HCM","HCM Common","HCM Extract","Redwood Experience for HCM Extracts",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Jess","NA","Yes","NA","No","No","NA","NA","NA",,,"7/13/2026","Single NF","NA","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Jess/26CHCM0270-RedwoodExperienceforHCMExtracts.pptx?web=1&action=edit",,,"7/13/2026 10:49 AM","Fixes In Progress",,,"Only Video ID Required","No",,,"7/15/2026 5:27 AM","Vidyashree","7/16/2026 10:00 AM","6401267808112",,"07/16/2026 04:57:59",,"Joseph",,,,,,,,"7/15/2026 9:57 PM","Yes","7/17/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/hcm-extract/153087/275636","153087","275636","15277991",,,,,"What's New in HCM Common",,,,,,"Released (A)",,,"7/17/2026 12:18 AM",,"26CHCM0270"
"HCM","Human Resources","Global Human Resources","Redwood Experience for Mass Legal Employer Change Process",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Rohit","Employee Onboarding to Retirement","Yes",,"No","No","1Z0-1046-26Oracle Global Human Resources Cloud Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional",,"Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/17/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Rohit/26CHCM0271-RedwoodExperienceforMassLegalEmployerChangeProcess.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0271"
"HCM","Payroll","Global Payroll","Redwood Experience for Payroll Setup Pages",,"11.13.26.07.0","New","Published","Ready to use, larger scale","Redwood",,,"NA","Anitha","Niki","Kurt","Payroll Input to Payment","Yes","No much here other page is now redwood","No","No",,,"Oracle Fusion Cloud HCM: Global Payroll","Become a Certified Payroll Implementer",,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0272"
"HCM","HCM Common","HCM Data Loader","Redwood Experience for Remove Person Information",,"11.13.26.07.0","Ready","Published","Setup Required",,,,"NA","Anitha","Niki","Jess","NA","Yes","NA","No","No","NA","NA","NA",,,"7/17/2026","Single NF","NA","PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Jess/26CHCM0273-RedwoodExperienceforRemovePersonInformation.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0273"
"HCM","Human Resources","Global Human Resources","Redwood Experience for Wellness Administration",,"11.13.26.07.0","New","New","Ready to use, small scale with prerequisite",,,,,"Anitha","Niki","Rohit",,"No","Not available in Readiness Portal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0274"
"HCM","Human Resources","Global Human Resources","Redwood Experience for Wellness Employee",,"11.13.26.07.0","New","New","Ready to use, small scale with prerequisite",,,,,"Anitha","Niki","Rohit",,"No","Not available in Readiness Portal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0275"
"HCM","Compensation","Compensation","Redwood Experience for Workforce Compensation Worksheet",,"11.13.26.07.0","Ready","Published","Opt In plus Setup","Redwood",,,,"Anitha","Niki","Kurt","Compensation Plans to Reward","Yes",,"No","No",,,"Oracle Fusion Cloud HCM Workforce Compensation","Become a certiffied Com",,"7/15/2026","Single NF",,,,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Kurt/26CHCM0276-RedwoodExperienceforWorkforceCompensationWorksheet.pptx?web=1&action=edit",,,"7/13/2026 5:30 PM","Approved",,,"Only Video ID Required","No",,,"7/15/2026 7:30 AM","Vidyashree","7/16/2026 10:00 AM","6401266338112",,"07/16/2026 04:58:05",,"Joseph",,,,,,,,"7/15/2026 9:58 PM",,"7/16/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-compensation/128169/275637","128169","275637","15277993",,,,,,,,,,,"Released (A)",,,"7/16/2026 1:58 PM",,"26CHCM0276"
"HCM","Recruiting","Recruiting","Redwood Experience: Additional Person Types Considered as Candidates",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"High","Anitha","Niki","Sarah",,"Yes",,"Yes","No",,,,,"Yes","7/16/2026","Single NF",,"PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0277-RedwoodExperience-AdditionalPersonTypesConsideredasCandidates.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0277"
"HCM","Recruiting","Recruiting","Redwood Experience: Advanced Search for Position Selector",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0278"
"HCM","HCM Common","HCM Common","Redwood Experience: Alerts Composer",,"11.13.26.07.0","Ready","Ready","Setup Required","Redwood",,,"NA","Anitha","Niki","Jess","NA","Yes","NA","No","No","NA","NA","NA",,,"7/17/2026","Single NF","NA","PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Jess/26CHCM0279-RedwoodExperience-AlertsComposer.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0279"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Associate Requisitions with Events",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/21/2026","Single NF",,"PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0280-RedwoodExperience-AssociateRequisitionswithEvents.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0280"
"HCM","Recruiting","Recruiting","Redwood Experience: Bulk Actions on the Job Requisitions List",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes",,"Single NF",,"Contacted Feature Owner","Configuration","Config not showing as it should in VBS, Tapan checking on backport of feature
","PM Team",,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0281-RedwoodExperience-BulkActionsontheJobRequisitionsList.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0281"
"HCM","Recruiting","Recruiting","Redwood Experience: Bulk Candidate Creation by Uploading Resumes",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah","Attract Talent to Onboard Workers","Yes",,"No","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"Yes","7/16/2026","Single NF",,"Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0282-RedwoodExperience-BulkCandidateCreationbyUploadingResumes.pptx?web=1&action=edit",,,"7/16/2026 4:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In Review (A)",,,,,"26CHCM0282"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Candidate Outreach",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah","Attract Talent to Onboard Workers","Yes",,"Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"Yes",,"Single NF",,"Seeding Data / Analyzing Demo","Configuration","Don't see the Recruiting Candidate Outreach Agent Template in AI Agent Studio ",,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0283-RedwoodExperience-CandidateOutreach.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0283"
"HCM","Recruiting","Recruiting","Redwood Experience: Capture Electronic Signature on Multiple Offer Documents",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"High","Anitha","Niki","Sarah",,"Yes",,"Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"Yes","7/17/2026","Single NF",,"PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0284-RedwoodExperience-CaptureElectronicSignatureonMultipleOfferDocuments.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0284"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Categorize and Save Email Attachments Using AI Agent",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Won't be able to demo in environment","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0285"
"HCM","Recruiting","Recruiting","Redwood Experience: Change Posting Locations of Non-Draft Job Requisitions",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0286"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Create Interview Summary and Populate Questionnaires Using AI Agent",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Depends on availability of feature in demo environment","Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"Yes",,,,,"Configuration","Can't demo, as it requires either Zoom or MS Teams integration setup (which is not in demo pod)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0287"
"HCM","Oracle Me Employee Experience","HCM Communicate","Redwood Experience: Custom Questions for Employee Events",,"11.13.26.07.0","Reviewed","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Nigel","Employee Experience to Business Outcome","Yes","N/A","No","No","N/A","N/A",,,"Yes","7/17/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0288-RedwoodExperience-CustomQuestionsforEmployeeEvents.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0288"
"HCM","Recruiting","Recruiting","Redwood Experience: Customize Payroll and Position Override Sections in the Create and Edit Job Offer Flows",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0289"
"HCM","Recruiting","Recruiting","Redwood Experience: Dedicated Security Privilege to Invite Recruiting Agents to Submit Candidates for a Job Requisition",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0290"
"HCM","Recruiting","Recruiting","Redwood Experience: Defaulting and Validation Rules For Job Requisition Details Section in Request New Position Flow",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0291"
"HCM","Recruiting","Recruiting","Redwood Experience: Display Relationship Between Interviews and Feedback Requests",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"High","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/17/2026","Single NF",,"PPT in Progress",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0292-RedwoodExperience-DisplayRelationshipBetweenInterviewsandFeedbackRequests.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0292"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Enhanced Editing for Private Hiring Events",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0293"
"HCM","Oracle Me Employee Experience","HCM Communicate","Redwood Experience: Express Communication Template for Employee Event Invitations",,"11.13.26.07.0","In Review","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Nigel","Employee Experience to Business Outcome","Yes","N/A","No","No","N/A","N/A",,,"Yes","7/20/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0294-RedwoodExperience-ExpressCommunicationTemplateforEmployeeEventInvitations.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0294"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Feedback Tab in Coordinate Interviews Area",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/14/2026","Combined Primary NF","Recruiting Booster Interview Enhancements","Recorded & Uploaded For Review",,,,,,,,,"7/15/2026 3:19 PM","Approved",,,"Only Video ID Required","No",,,"7/16/2026 9:08 AM","Vidyashree","7/17/2026 12:00 PM","6401368161112",,"07/17/2026 06:41:32",,,,,,,,,,"7/16/2026 11:41 PM",,,,,,,,,,"What's New in Recruiting",,"Recruiting Booster",,,,,,"In Setup (A)",,,,,"26CHCM0295"
"HCM","Recruiting","Recruiting","Redwood Experience: Generate Interview Resources Using AI Agent",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah",,"TBD","Depends on availability of feature in demo environment","Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)","Oracle Fusion Cloud HCM Recruiting",,"WIP",,,,"Seeding Data / Analyzing Demo","Configuration","Enabled all page properties for interview and interview schedule, AI assist still not showing up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0296"
"HCM","Recruiting","Recruiting","Redwood Experience: Generate Job Requisition Posting Description Using AI Agent",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Agent appears to work in the background and only replaces current functionality (no setup required)","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0297"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Internal Hiring Events",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"Yes","No",,,,,"Yes","7/15/2026","Combined Bundled NF","Internal Hiring Events","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0298-RedwoodExperience-InternalHiringEvents.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0298"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: Interview Companion",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Generative,Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"Yes","Yes",,"Oracle Recruiting Cloud 2026 Implementation Professional (1D0-1069-26-D)",,,"Yes","7/22/2026","Combined Bundled NF","Recruiting Booster Interview Enhancements","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Sarah/26CHCM0299-RedwoodExperience-InterviewCompanion.pptx?web=1&action=edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0299"
"HCM","Recruiting","Recruiting","Redwood Experience: Job Application E-Signature Section Enhancements",,"11.13.26.07.0","Ready","Published","Ready to use, small scale with prerequisite","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0300"
"HCM","Recruiting","Recruiting","Redwood Experience: Job Offer Enhancements for Employees with Multiple Assignments",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0301"
"HCM","Recruiting","Recruiting","Redwood Experience: Job Offer Letter Versioning Enhancement",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, nothing to demo","Yes","Yes",,"1D0-1069-26-D Oracle Recruiting Cloud  Implementation Professional","Oracle Fusion Cloud HCM Recruiting",,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0302"
"HCM","Recruiting","Recruiting","Redwood Experience: Keyword Parameter in Search URL",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0303"
"HCM","Recruiting","Recruiting","Redwood Experience: More Use Cases for Defaulting and Validation Rules for Create Job Requisition Flow",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Basic customization updates","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0304"
"HCM","Recruiting","Recruiting","Redwood Experience: Move Action Extensibility in Hiring Section of Job Applications and Candidate Profiles",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Basic customization updates","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0305"
"HCM","Recruiting","Recruiting","Redwood Experience: Move and Continue Action When Moving a Job Application",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Basic customization updates","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0306"
"HCM","Recruiting","Recruiting Booster","Redwood Experience: My Feedback Tab in Interviews Area",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/14/2026","Combined Bundled NF","Recruiting Booster Interview Enhancements","Recorded & Uploaded For Review",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0307"
"HCM","Recruiting","Recruiting","Redwood Experience: New Notification for Unsolicited Feedback",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"No","Too small, end user feature","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0308"
"HCM","Payroll","Global Payroll","Redwood Experience: Personal Payment Methods Enhancement",,"11.13.26.07.0","New","Published","Ready to use, small scale with prerequisite","Redwood",,,"NA","Anitha","Niki","Kurt","Payroll Input to Payment","Yes",,"No","No",,,"Oracle Fusion Cloud HCM: Global Payroll","Become a Certified Payroll Implementer",,,"Single NF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0309"
"HCM","Recruiting","Recruiting","Redwood Experience: Pipeline Requisitions Enhancements",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes","7/20/2026","Combined Bundled NF","Pipeline Requisition Enhancements","PPT in Progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0310"
